#id	set	correctLabelW0orW1	warrant0	warrant1	reason	claim	debateTitle	debateInfo
14666389_480_A1CF6U3GF7DZEJ	dev	0	['the', 'excuse', 'is', 'rarely', 'warranted']	['the', 'excuse', 'is', 'sometimes', 'warranted']	['Police', 'use', 'the', 'excuse', 'of', 'fear', 'for', 'life', 'to', 'abuse', 'use', 'of', 'force', '.']	['Police', 'is', 'too', 'willing', 'to', 'use', 'force']	['Do', 'Police', 'Use', 'Deadly', 'Force', 'Too', 'Often', '?']	['Have', 'police', 'officers', 'become', 'too', 'willing', 'to', 'use', 'force', 'or', 'are', 'they', 'reacting', 'to', 'the', 'dangers', 'they', 'face', 'every', 'day', '?']
15986315_66_A1LZPWVZRTUZD0	dev	0	['these', 'portions', 'of', 'California', 'are', 'doing', 'far', 'worse', 'than', 'anywhere', 'else', 'in', 'the', 'state']	['these', 'portions', 'of', 'California', 'are', 'doing', 'better', 'than', 'anywhere', 'else', 'in', 'the', 'state']	['Illegal', 'immigrants', 'have', 'overrun', 'large', 'portions', 'of', 'California', '.']	['Immigration', 'is', 'really', 'a', 'problem']	['Is', 'Immigration', 'Really', 'a', 'Problem', '?']	['Is', 'unauthorized', 'immigration', 'as', 'much', 'of', 'a', 'problem', 'for', 'the', 'U.S.', 'as', 'some', 'claim', '?']
16803626_23_A3PILUAB7LZGWQ	dev	0	['Public', 'narrative', 'has', 'effect', 'on', 'politicians']	['Public', 'narrative', 'has', 'virtually', 'no', 'effect', 'on', 'politicians']	['Polls', 'results', 'create', 'a', 'public', 'narrative', 'rather', 'than', 'reality', '.']	['Pollings', 'undermine', 'democracy']	['Does', 'Polling', 'Undermine', 'Democracy', '?']	['Have', 'public', 'opinion', 'surveys', 'been', 'given', 'too', 'great', 'a', 'role', 'in', 'American', 'politics', '?', 'Are', 'they', 'measuring', 'public', 'opinion', ',', 'or', 'creating', 'it', '?']
15885882_232_AE861G0AY5RGT	dev	1	['a', 'child', 'born', 'in', 'the', 'US', 'has', 'the', 'ability', 'to', 'provide', 'much', 'more', 'to', 'the', 'country', 'than', 'it', 'cost', 'to', 'raise', 'them']	['a', 'child', 'born', 'in', 'the', 'US', 'doesn', 'not', 'have', 'the', 'ability', 'to', 'provide', 'much', 'more', 'to', 'the', 'country', 'than', 'it', 'cost', 'to', 'raise', 'them']	['Citizenship', 'should', 'be', 'earned', 'by', 'people', 'through', 'their', 'investment', 'in', 'the', 'culture', 'and', 'economy', '.']	['Abolish', 'Birthright', 'Citizenship']	"['Should', ""'"", 'Birthright', 'Citizenship', ""'"", 'Be', 'Abolished', '?']"	['Several', 'G.O.P.', 'candidates', 'are', 'calling', 'for', 'an', 'end', 'to', 'the', 'constitutional', 'rule', 'that', 'a', 'child', 'born', 'in', 'the', 'U.S.', 'is', 'a', 'U.S.', 'citizen', '.', 'Is', 'this', 'a', 'good', 'idea', '?']
15418829_270_A2QVMCGDLTWV9	dev	0	"['the', 'supreme', 'court', ""hasn't"", 'yet', 'resembled', 'tyranny', 'itself']"	['the', 'supreme', 'court', 'is', 'starting', 'to', 'resemble', 'tyranny', 'itself']	['The', 'supreme', 'court', 'protects', 'against', 'tyranny', '.']	['Supreme', 'court', 'is', 'not', 'too', 'powerful']	['Is', 'the', 'Supreme', 'Court', 'Too', 'Powerful', '?']	['Is', 'judicial', 'review', 'the', 'best', 'way', 'to', 'avoid', 'political', 'influence', '?', 'Or', 'is', 'change', 'best', 'accomplished', 'legislatively', '?']
15164629_468_A3C9GGDXBZW62D	dev	1	"['theories', 'do', ""n't"", 'need', 'to', 'be', 'validated', 'to', 'be', 'true']"	['theories', 'need', 'to', 'be', 'validated', 'to', 'be', 'true']	['Overcrowding', 'theories', 'have', 'never', 'been', 'vaildated', '.']	['Overcrowding', 'is', 'not', 'a', 'legitimate', 'threat']	['Is', 'Overcrowding', 'a', 'Legitimate', 'Threat', '?']	"['Do', 'we', 'still', 'need', 'to', 'worry', 'about', 'Paul', 'Ehrlich', ""'s"", 'predictions', 'of', 'an', 'overcrowded', 'planet', '?']"
15978831_359_A1DJNUJZN8FE7N	dev	1	['America', 'can', 'handle', 'the', 'leeching', 'without', 'much', 'concern']	['America', 'can', 'not', 'handle', 'the', 'leeching', 'without', ' ', 'concern']	['Illegal', 'immigrants', 'take', 'advantage', 'of', 'the', 'freebies', 'America', 'has', 'to', 'offer', 'without', 'paying', 'into', 'the', 'system', '.']	['Immigration', 'is', 'really', 'a', 'problem']	['Is', 'Immigration', 'Really', 'a', 'Problem', '?']	['Is', 'unauthorized', 'immigration', 'as', 'much', 'of', 'a', 'problem', 'for', 'the', 'U.S.', 'as', 'some', 'claim', '?']
16630140_37_A2QVMCGDLTWV9	dev	1	['profit', 'requires', 'trust', 'on', 'the', 'part', 'of', 'customers']	['profit', 'does', 'not', 'require', 'trust', 'on', 'the', 'part', 'of', 'customers']	['Corporations', 'have', 'only', 'one', 'goal', ':', 'to', 'make', 'a', 'profit', '.']	"['Companies', 'ca', ""n't"", 'be', 'trusted']"	['Can', 'Companies', 'Be', 'Trusted', '?']	"['Volkswagen', ""'s"", 'vast', 'cheating', 'on', 'emissions', 'tests', 'has', 'been', 'called', 'proof', 'that', 'stronger', 'regulation', 'is', 'needed', '.']"
14663382_122_A34QZDSTKZ3JO9	dev	0	['there', 'are', 'civilians', 'dying', 'all', 'over', 'the', 'US']	['there', 'are', 'problems', 'all', 'over', 'the', 'US']	['We', 'assume', 'police', 'are', 'using', 'excessive', 'force', 'all', 'over', 'the', 'US', 'and', 'it', 'is', 'not', 'recorded', '.']	['Police', 'is', 'too', 'willing', 'to', 'use', 'force']	['Do', 'Police', 'Use', 'Deadly', 'Force', 'Too', 'Often', '?']	['Have', 'police', 'officers', 'become', 'too', 'willing', 'to', 'use', 'force', 'or', 'are', 'they', 'reacting', 'to', 'the', 'dangers', 'they', 'face', 'every', 'day', '?']
15167053_560_A1LZPWVZRTUZD0	dev	0	['capitalism', 'is', 'widespread', 'across', 'the', 'world']	['capitalism', 'is', 'almost', 'non', '-', 'existent', 'across', 'the', 'world']	['Capitalism', 'causes', 'overcrowding', 'to', 'be', 'problematic', '.']	['Overcrowding', 'is', 'a', 'legitimate', 'threat']	['Is', 'Overcrowding', 'a', 'Legitimate', 'Threat', '?']	"['Do', 'we', 'still', 'need', 'to', 'worry', 'about', 'Paul', 'Ehrlich', ""'s"", 'predictions', 'of', 'an', 'overcrowded', 'planet', '?']"
16986890_91_A1HKYY6XI2OHO1	dev	1	['professors', 'need', 'a', 'little', 'humility', 'now', 'and', 'then']	"['professors', 'do', ""n't"", 'need', 'any', 'humility']"	['Anonymous', 'on', '-', 'line', 'evaluations', 'have', 'been', 'shown', 'to', 'be', 'spurious', '.']	['It', 'is', 'not', 'fair', 'to', 'rate', 'professors', 'online']	['Is', 'It', 'Fair', 'to', 'Rate', 'Professors', 'Online', '?']	['As', 'students', 'finish', 'their', 'finals', 'and', 'plan', 'for', 'next', 'semester', ',', 'should', 'they', 'turn', 'to', 'RateMyProfessor.com', 'to', 'offer', 'advice', 'and', 'seek', 'guidance', '?']
