#id	set	correctLabelW0orW1	warrant0	warrant1	reason	claim	debateTitle	debateInfo
14666389_480_A1CF6U3GF7DZEJ	dev	0	['the', 'excuse', 'is', 'rarely', 'warranted']	['the', 'excuse', 'is', 'sometimes', 'warranted']	['police', 'use', 'the', 'excuse', 'of', 'fear', 'for', 'life', 'to', 'abuse', 'use', 'of', 'force', '.']	['police', 'is', 'too', 'willing', 'to', 'use', 'force']	['do', 'police', 'use', 'deadly', 'force', 'too', 'often', '?']	['have', 'police', 'officers', 'become', 'too', 'willing', 'to', 'use', 'force', 'or', 'are', 'they', 'reacting', 'to', 'the', 'dangers', 'they', 'face', 'every', 'day', '?']
15986315_66_A1LZPWVZRTUZD0	dev	0	['these', 'portions', 'of', 'california', 'are', 'doing', 'far', 'worse', 'than', 'anywhere', 'else', 'in', 'the', 'state']	['these', 'portions', 'of', 'california', 'are', 'doing', 'better', 'than', 'anywhere', 'else', 'in', 'the', 'state']	['illegal', 'immigrants', 'have', 'overrun', 'large', 'portions', 'of', 'california', '.']	['immigration', 'is', 'really', 'a', 'problem']	['is', 'immigration', 'really', 'a', 'problem', '?']	['is', 'unauthorized', 'immigration', 'as', 'much', 'of', 'a', 'problem', 'for', 'the', 'u.s.', 'as', 'some', 'claim', '?']
16803626_23_A3PILUAB7LZGWQ	dev	0	['public', 'narrative', 'has', 'effect', 'on', 'politicians']	['public', 'narrative', 'has', 'virtually', 'no', 'effect', 'on', 'politicians']	['polls', 'results', 'create', 'a', 'public', 'narrative', 'rather', 'than', 'reality', '.']	['pollings', 'undermine', 'democracy']	['does', 'polling', 'undermine', 'democracy', '?']	['have', 'public', 'opinion', 'surveys', 'been', 'given', 'too', 'great', 'a', 'role', 'in', 'american', 'politics', '?', 'are', 'they', 'measuring', 'public', 'opinion', ',', 'or', 'creating', 'it', '?']
15885882_232_AE861G0AY5RGT	dev	1	['a', 'child', 'born', 'in', 'the', 'us', 'has', 'the', 'ability', 'to', 'provide', 'much', 'more', 'to', 'the', 'country', 'than', 'it', 'cost', 'to', 'raise', 'them']	['a', 'child', 'born', 'in', 'the', 'us', 'doesn', 'not', 'have', 'the', 'ability', 'to', 'provide', 'much', 'more', 'to', 'the', 'country', 'than', 'it', 'cost', 'to', 'raise', 'them']	['citizenship', 'should', 'be', 'earned', 'by', 'people', 'through', 'their', 'investment', 'in', 'the', 'culture', 'and', 'economy', '.']	['abolish', 'birthright', 'citizenship']	"['should', ""'"", 'birthright', 'citizenship', ""'"", 'be', 'abolished', '?']"	['several', 'g.o.p.', 'candidates', 'are', 'calling', 'for', 'an', 'end', 'to', 'the', 'constitutional', 'rule', 'that', 'a', 'child', 'born', 'in', 'the', 'u.s.', 'is', 'a', 'u.s.', 'citizen', '.', 'is', 'this', 'a', 'good', 'idea', '?']
15418829_270_A2QVMCGDLTWV9	dev	0	"['the', 'supreme', 'court', ""hasn't"", 'yet', 'resembled', 'tyranny', 'itself']"	['the', 'supreme', 'court', 'is', 'starting', 'to', 'resemble', 'tyranny', 'itself']	['the', 'supreme', 'court', 'protects', 'against', 'tyranny', '.']	['supreme', 'court', 'is', 'not', 'too', 'powerful']	['is', 'the', 'supreme', 'court', 'too', 'powerful', '?']	['is', 'judicial', 'review', 'the', 'best', 'way', 'to', 'avoid', 'political', 'influence', '?', 'or', 'is', 'change', 'best', 'accomplished', 'legislatively', '?']
15164629_468_A3C9GGDXBZW62D	dev	1	"['theories', 'do', ""n't"", 'need', 'to', 'be', 'validated', 'to', 'be', 'true']"	['theories', 'need', 'to', 'be', 'validated', 'to', 'be', 'true']	['overcrowding', 'theories', 'have', 'never', 'been', 'vaildated', '.']	['overcrowding', 'is', 'not', 'a', 'legitimate', 'threat']	['is', 'overcrowding', 'a', 'legitimate', 'threat', '?']	"['do', 'we', 'still', 'need', 'to', 'worry', 'about', 'paul', 'ehrlich', ""'s"", 'predictions', 'of', 'an', 'overcrowded', 'planet', '?']"
15978831_359_A1DJNUJZN8FE7N	dev	1	['america', 'can', 'handle', 'the', 'leeching', 'without', 'much', 'concern']	['america', 'can', 'not', 'handle', 'the', 'leeching', 'without', ' ', 'concern']	['illegal', 'immigrants', 'take', 'advantage', 'of', 'the', 'freebies', 'america', 'has', 'to', 'offer', 'without', 'paying', 'into', 'the', 'system', '.']	['immigration', 'is', 'really', 'a', 'problem']	['is', 'immigration', 'really', 'a', 'problem', '?']	['is', 'unauthorized', 'immigration', 'as', 'much', 'of', 'a', 'problem', 'for', 'the', 'u.s.', 'as', 'some', 'claim', '?']
16630140_37_A2QVMCGDLTWV9	dev	1	['profit', 'requires', 'trust', 'on', 'the', 'part', 'of', 'customers']	['profit', 'does', 'not', 'require', 'trust', 'on', 'the', 'part', 'of', 'customers']	['corporations', 'have', 'only', 'one', 'goal', ':', 'to', 'make', 'a', 'profit', '.']	"['companies', 'ca', ""n't"", 'be', 'trusted']"	['can', 'companies', 'be', 'trusted', '?']	"['volkswagen', ""'s"", 'vast', 'cheating', 'on', 'emissions', 'tests', 'has', 'been', 'called', 'proof', 'that', 'stronger', 'regulation', 'is', 'needed', '.']"
14663382_122_A34QZDSTKZ3JO9	dev	0	['there', 'are', 'civilians', 'dying', 'all', 'over', 'the', 'us']	['there', 'are', 'problems', 'all', 'over', 'the', 'us']	['we', 'assume', 'police', 'are', 'using', 'excessive', 'force', 'all', 'over', 'the', 'us', 'and', 'it', 'is', 'not', 'recorded', '.']	['police', 'is', 'too', 'willing', 'to', 'use', 'force']	['do', 'police', 'use', 'deadly', 'force', 'too', 'often', '?']	['have', 'police', 'officers', 'become', 'too', 'willing', 'to', 'use', 'force', 'or', 'are', 'they', 'reacting', 'to', 'the', 'dangers', 'they', 'face', 'every', 'day', '?']
15167053_560_A1LZPWVZRTUZD0	dev	0	['capitalism', 'is', 'widespread', 'across', 'the', 'world']	['capitalism', 'is', 'almost', 'non', '-', 'existent', 'across', 'the', 'world']	['capitalism', 'causes', 'overcrowding', 'to', 'be', 'problematic', '.']	['overcrowding', 'is', 'a', 'legitimate', 'threat']	['is', 'overcrowding', 'a', 'legitimate', 'threat', '?']	"['do', 'we', 'still', 'need', 'to', 'worry', 'about', 'paul', 'ehrlich', ""'s"", 'predictions', 'of', 'an', 'overcrowded', 'planet', '?']"
16986890_91_A1HKYY6XI2OHO1	dev	1	['professors', 'need', 'a', 'little', 'humility', 'now', 'and', 'then']	"['professors', 'do', ""n't"", 'need', 'any', 'humility']"	['anonymous', 'on', '-', 'line', 'evaluations', 'have', 'been', 'shown', 'to', 'be', 'spurious', '.']	['it', 'is', 'not', 'fair', 'to', 'rate', 'professors', 'online']	['is', 'it', 'fair', 'to', 'rate', 'professors', 'online', '?']	['as', 'students', 'finish', 'their', 'finals', 'and', 'plan', 'for', 'next', 'semester', ',', 'should', 'they', 'turn', 'to', 'ratemyprofessor.com', 'to', 'offer', 'advice', 'and', 'seek', 'guidance', '?']
16146730_138_AB98SGS280TY5	dev	0	['fighting', 'with', 'isis', 'does', 'not', 'cause', 'more', 'problems', '.']	['fighting', 'with', 'isis', 'causes', 'more', 'problems', '.']	['working', 'with', 'russia', 'in', 'syria', 'will', 'defeat', 'isis', 'and', 'begin', 'mending', 'fences', 'with', 'russia', 'who', 'would', 'be', 'a', 'good', 'ally', '.']	['russia', 'can', 'be', 'a', 'partner']	['can', 'russia', 'really', 'be', 'a', 'partner', 'to', 'bring', 'peace', 'to', 'syria', '?']	['can', 'russia', 'be', 'an', 'ally', 'in', 'stabilizing', 'syria', 'and', 'fighting', 'isis', 'or', 'is', 'it', 'too', 'closely', 'tied', 'to', 'the', 'assad', 'regime', '?']
16971054_138_AYFOAD75CRBKE	dev	1	"['rating', 'tells', 'about', 'the', 'professor', ""'s"", 'history']"	"['rating', 'does', ""n't"", 'tell', 'about', 'the', 'professor', ""'s"", 'history']"	['a', 'bad', 'rating', 'is', 'still', 'there', 'years', 'later', ',', 'even', 'if', 'it', 'no', 'longer', 'has', 'relevance', '.']	['it', 'is', 'not', 'fair', 'to', 'rate', 'professors', 'online']	['is', 'it', 'fair', 'to', 'rate', 'professors', 'online', '?']	['as', 'students', 'finish', 'their', 'finals', 'and', 'plan', 'for', 'next', 'semester', ',', 'should', 'they', 'turn', 'to', 'ratemyprofessor.com', 'to', 'offer', 'advice', 'and', 'seek', 'guidance', '?']
15419119_299_APW9F8OTJ4KXO	dev	1	['many', 'americans', 'would', 'prefer', 'to', 'still', 'live', 'in', 'those', 'less', 'civilized', 'times', ',', 'it', 'is', 'their', 'right', 'to', 'do', 'so']	['many', 'americans', 'would', 'not', 'prefer', 'to', 'still', 'live', 'in', 'those', 'less', 'civilized', 'times', ',', 'it', 'is', 'their', 'right', 'to', 'become', 'advanced']	['without', 'the', 'supreme', 'court', ',', 'the', 'us', 'would', 'be', 'in', 'the', 'dark', 'ages', '.']	['supreme', 'court', 'is', 'not', 'too', 'powerful']	['is', 'the', 'supreme', 'court', 'too', 'powerful', '?']	['is', 'judicial', 'review', 'the', 'best', 'way', 'to', 'avoid', 'political', 'influence', '?', 'or', 'is', 'change', 'best', 'accomplished', 'legislatively', '?']
14233179_121_AYFOAD75CRBKE	dev	0	['most', 'every', 'case', 'is', 'the', 'same']	['not', 'every', 'case', 'is', 'the', 'same']	['both', 'of', 'my', 'home', 'births', 'had', 'no', 'problems', 'or', 'risks', '.']	['women', 'should', 'be', 'encouraged', 'to', 'have', 'kids', 'at', 'home']	['is', 'home', 'birth', 'ever', 'a', 'safe', 'choice', '?']	['should', 'more', 'women', 'be', 'encouraged', 'to', 'have', 'kids', 'at', 'home', '?']
14370228_0_A104V8NZIQFN2F	dev	0	['women', 'should', ' ', 'practice', 'law']	['women', 'should', 'not', 'practice', 'law']	['in', 'the', 'law', 'school', 'field', 'there', 'are', 'none', 'that', 'are', 'for', 'women', 'only', '.']	['same', '-', 'sex', 'colleges', 'are', 'outdated']	['are', 'same', '-', 'sex', 'colleges', 'still', 'relevant', '?']	['do', 'same', '-', 'sex', 'colleges', 'play', 'an', 'important', 'role', 'in', 'education', ',', 'or', 'are', 'they', 'outdated', '?']
17024278_160_A247LJDZOGXJK6	dev	1	['litter', 'boxes', 'can', 'be', 'cleaned', 'on', 'a', 'daily', 'basis']	['litter', 'boxes', 'are', 'annoying', 'to', 'clean', 'on', 'a', 'daily', 'basis']	['declawing', 'your', 'cat', 'can', 'understandably', 'lead', 'to', 'them', 'failing', 'to', 'cover', 'their', 'waste', '.']	['it', 'should', 'be', 'illegal', 'to', 'declaw', 'your', 'cat']	['should', 'it', 'be', 'illegal', 'to', 'declaw', 'your', 'cat', '?']	['with', 'legislation', 'pending', ',', 'new', 'york', 'could', 'become', 'the', 'first', 'state', 'to', 'make', 'removing', 'the', 'claws', 'of', 'a', 'cat', 'a', 'crime', '.']
16157609_550_APW9F8OTJ4KXO	dev	1	['some', 'people', 'do', 'not', 'have', 'enough', 'supportive', 'people', 'in', 'their', 'lives', 'to', 'follow', 'up', 'with']	['people', 'have', 'enough', 'supportive', 'people', 'in', 'their', 'lives', 'to', 'follow', 'up', 'with']	['people', 'need', 'other', 'people', 'more', 'than', 'they', 'think', '.']	['apps', 'can', 'not', 'be', 'used', 'to', 'treat', 'depression', 'and', 'anxiety']	"['depressed', '?', 'there', ""'s"", 'an', 'app', 'for', 'that']"	['can', 'apps', 'be', 'used', 'to', 'treat', 'depression', 'and', 'anxiety', '?']
14230144_260_A34QZDSTKZ3JO9	dev	1	"['one', 'experience', 'does', ""n't"", 'amount', 'to', 'the', 'experiences', 'of', 'everyone']"	['one', 'experience', 'can', 'be', 'an', 'example', 'to', 'the', 'experiences', 'of', 'everyone']	['my', 'home', 'birth', 'experience', 'is', 'indescribable', ',', 'it', 'was', 'the', 'best', 'decision', 'i', 'ever', 'made', '.']	['women', 'should', 'be', 'encouraged', 'to', 'have', 'kids', 'at', 'home']	['is', 'home', 'birth', 'ever', 'a', 'safe', 'choice', '?']	['should', 'more', 'women', 'be', 'encouraged', 'to', 'have', 'kids', 'at', 'home', '?']
14367986_0_A2GHGJP29KRWOQ	dev	1	['this', 'specific', 'landscape', 'is', 'not', 'longer', 'relevant']	['this', 'specific', 'landscape', 'is', 'relevant']	['same', 'sex', 'schools', 'offers', 'a', 'specific', 'landscape', '.']	['same', '-', 'sex', 'colleges', 'are', 'still', 'relevant']	['are', 'same', '-', 'sex', 'colleges', 'still', 'relevant', '?']	['do', 'same', '-', 'sex', 'colleges', 'play', 'an', 'important', 'role', 'in', 'education', ',', 'or', 'are', 'they', 'outdated', '?']
