/home/andreas/anaconda3/envs/default/bin/python /home/andreas/workspace/semeval/project/results_evaluator.py
start evaluating
|                                   |   pred_acc |   val_acc |   epoch | backend    | classifier     |   dimensionality |   padding |   lstm_size | activation1   | activation2   | optimizer   | loss                           |   batch_size |   dropout |   vsplit | embedding                                    |   embedding2 |   rich |   runtime | argv                                                                                                                                                                                                                                             |
|:----------------------------------|-----------:|----------:|--------:|:-----------|:---------------|-----------------:|----------:|------------:|:--------------|:--------------|:------------|:-------------------------------|-------------:|----------:|---------:|:---------------------------------------------|-------------:|-------:|----------:|:-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| ('2017-12-10_01-28-44-137141', 5) |      0.712 |     0.674 |       9 | Theano     | LSTM_01        |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |   728.510 | ['main.py', '--runs', '5', '--pre_seed', '1', '--save_path', '/scratch_gs/funkea/semeval/']                                                                                                                                                      |
| ('2017-12-10_01-29-43-821365', 1) |      0.712 |     0.661 |      15 | Theano     | LSTM_01        |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_dict2vec_prov_freq_lc  |          nan |      3 |  1124.660 | ['main.py', '--runs', '5', '--embedding', 'd2v_pf_lc', '--save_path', '/scratch_gs/funkea/semeval/']                                                                                                                                             |
| ('2017-12-12_23-46-51-768780', 3) |      0.709 |     0.624 |       9 | tensorflow | LSTM_01        |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |   212.978 | ['--runs', '5', '--optimizer', 'adam', '--out_path', '/scratch_gs/funkea/semeval/out/']                                                                                                                                                          |
| ('2017-12-12_23-46-51-712310', 4) |      0.706 |     0.686 |      12 | tensorflow | LSTM_01        |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_dict2vec_prov_freq_lc  |          nan |      3 |   317.674 | ['--runs', '5', '--embedding', 'd2v_pf_lc', '--out_path', '/scratch_gs/funkea/semeval/out/']                                                                                                                                                     |
| ('2017-12-13_00-15-16-731454', 3) |      0.706 |     0.644 |      11 | tensorflow | LSTM_01        |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.400 | embeddings_cache_file_word2vec               |          nan |      3 |   205.993 | ['--runs', '5', '--vsplit', '0.4', '--out_path', '/scratch_gs/funkea/semeval/out/']                                                                                                                                                              |
| ('2018-01-06_23-51-34-376124', 3) |      0.706 |     0.667 |      11 | tensorflow | LSTM_01        |              300 |        47 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.400 | embeddings_cache_file_word2vec               |          nan |      3 |   178.635 | ['--padding', '47', '--runs', '5', '--vsplit', '0.4']                                                                                                                                                                                            |
| ('2017-12-12_23-46-50-309544', 5) |      0.703 |     0.669 |       9 | tensorflow | LSTM_01        |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |   232.078 | ['--runs', '5', '--pre_seed', '10', '--out_path', '/scratch_gs/funkea/semeval/out/']                                                                                                                                                             |
| ('2018-01-08_17-11-10-891132', 3) |      0.703 |     0.657 |      11 | tensorflow | LSTM_05add     |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |  1286.003 | ['--classifier', 'LSTM_05add']                                                                                                                                                                                                                   |
| ('2017-12-10_01-29-45-316670', 4) |      0.699 |     0.688 |      13 | Theano     | LSTM_01        |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.200 | embeddings_cache_file_word2vec               |          nan |      3 |   889.157 | ['main.py', '--runs', '5', '--vsplit', '0.2', '--save_path', '/scratch_gs/funkea/semeval/']                                                                                                                                                      |
