/home/andreas/anaconda3/envs/default/bin/python /home/andreas/workspace/semeval/project/results_evaluator.py
start evaluating
|                                    |   pred_acc |   val_acc |   epoch | backend   | classifier   |   dimensionality |   padding |   lstm_size | activation1   | activation2   | optimizer   | loss                           |   batch_size |   dropout |   vsplit | embedding                                    |   embedding2 |   rich |   runtime | argv                                                                                                                                        |
|:-----------------------------------|-----------:|----------:|--------:|:----------|:-------------|-----------------:|----------:|------------:|:--------------|:--------------|:------------|:-------------------------------|-------------:|----------:|---------:|:---------------------------------------------|-------------:|-------:|----------:|:--------------------------------------------------------------------------------------------------------------------------------------------|
| ('2018-01-22_00-19-53-967500', 2)  |      0.709 |     0.665 |       8 | theano    | LSTM_05add   |              300 |       100 |          64 | sigmoid       | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |  2426.967 | ['--runs', '10', '--classifier', 'LSTM_05add', '--activation1', 'sigmoid', '--out_path', '/scratch_gs/funkea/semeval/out/']                 |
| ('2018-01-22_00-09-45-105296', 4)  |      0.703 |     0.661 |      18 | theano    | LSTM_05add   |              300 |       100 |          32 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |  3312.187 | ['--runs', '10', '--classifier', 'LSTM_05add', '--lstm_size', '32', '--out_path', '/scratch_gs/funkea/semeval/out/']                        |
| ('2018-01-22_00-26-31-769384', 7)  |      0.699 |     0.686 |      11 | theano    | LSTM_05add   |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.150 | embeddings_cache_file_word2vec               |          nan |      3 |  3093.084 | ['--runs', '10', '--classifier', 'LSTM_05add', '--vsplit', '0.15', '--out_path', '/scratch_gs/funkea/semeval/out/']                         |
| ('2018-01-22_00-13-34-102509', 1)  |      0.699 |     0.682 |      13 | theano    | LSTM_05add   |              300 |       100 |          64 | relu          | sigmoid       | rmsprop     | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |  3547.345 | ['--runs', '10', '--classifier', 'LSTM_05add', '--optimizer', 'rmsprop', '--out_path', '/scratch_gs/funkea/semeval/out/']                   |
| ('2018-01-22_00-13-34-268993', 3)  |      0.693 |     0.694 |      10 | theano    | LSTM_05add   |              300 |       100 |          64 | relu          | sigmoid       | nadam       | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |  2986.313 | ['--runs', '10', '--classifier', 'LSTM_05add', '--optimizer', 'nadam', '--out_path', '/scratch_gs/funkea/semeval/out/']                     |
| ('2018-01-22_00-19-53-909546', 10) |      0.693 |     0.694 |       9 | theano    | LSTM_05add   |              300 |       100 |          64 | softsign      | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |  2754.900 | ['--runs', '10', '--classifier', 'LSTM_05add', '--activation1', 'softsign', '--out_path', '/scratch_gs/funkea/semeval/out/']                |
| ('2018-01-22_00-26-31-769384', 4)  |      0.690 |     0.683 |      15 | theano    | LSTM_05add   |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.150 | embeddings_cache_file_word2vec               |          nan |      3 |  4164.025 | ['--runs', '10', '--classifier', 'LSTM_05add', '--vsplit', '0.15', '--out_path', '/scratch_gs/funkea/semeval/out/']                         |
| ('2018-01-22_00-19-53-909546', 5)  |      0.690 |     0.707 |       8 | theano    | LSTM_05add   |              300 |       100 |          64 | softsign      | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |  2444.751 | ['--runs', '10', '--classifier', 'LSTM_05add', '--activation1', 'softsign', '--out_path', '/scratch_gs/funkea/semeval/out/']                |
| ('2018-01-22_00-39-35-021947', 8)  |      0.690 |     0.698 |      15 | theano    | LSTM_05add   |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |  4353.284 | ['--runs', '10', '--classifier', 'LSTM_05add', '--embedding', 'w2v', '--out_path', '/scratch_gs/funkea/semeval/out/']                       |
| ('2018-01-22_00-13-34-594175', 1)  |      0.690 |     0.702 |      14 | theano    | LSTM_05add   |              300 |       100 |          64 | relu          | sigmoid       | adagrad     | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |  3850.500 | ['--runs', '10', '--classifier', 'LSTM_05add', '--optimizer', 'adagrad', '--out_path', '/scratch_gs/funkea/semeval/out/']                   |
| ('2018-01-22_00-19-53-970046', 9)  |      0.690 |     0.694 |      10 | theano    | LSTM_05add   |              300 |       100 |          64 | softplus      | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |  3006.679 | ['--runs', '10', '--classifier', 'LSTM_05add', '--activation1', 'softplus', '--out_path', '/scratch_gs/funkea/semeval/out/']                |
| ('2018-01-22_00-19-53-792462', 2)  |      0.690 |     0.661 |       7 | theano    | LSTM_05add   |              300 |       100 |          64 | linear        | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |  2221.363 | ['--runs', '10', '--classifier', 'LSTM_05add', '--activation1', 'linear', '--out_path', '/scratch_gs/funkea/semeval/out/']                  |
| ('2018-01-22_00-15-12-818105', 3)  |      0.687 |     0.649 |      19 | theano    | LSTM_05add   |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_fastText               |          nan |      3 |  5456.110 | ['--runs', '10', '--classifier', 'LSTM_05add', '--embedding', 'ftx', '--out_path', '/scratch_gs/funkea/semeval/out/']                       |
| ('2018-01-22_00-00-26-843306', 8)  |      0.687 |     0.711 |      13 | theano    | LSTM_05add   |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |  3908.531 | ['--runs', '10', '--classifier', 'LSTM_05add', '--activation1', 'relu', '--out_path', '/scratch_gs/funkea/semeval/out/']                    |
| ('2018-01-22_00-12-05-670889', 1)  |      0.687 |     0.661 |      10 | theano    | LSTM_05add   |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |            8 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |  6539.964 | ['--runs', '10', '--classifier', 'LSTM_05add', '--batch_size', '8', '--out_path', '/scratch_gs/funkea/semeval/out/']                        |
