start evaluating
|                                    |   pred_acc |   val_acc |   epoch | backend    | classifier   |   dimensionality |   padding |   lstm_size | activation1   | activation2   | optimizer   | loss                |   batch_size |   dropout |   vsplit | embedding                                     |   embedding2 |   rich |   runtime | argv                                                                                                                                                                                                                                                                              |
|:-----------------------------------|-----------:|----------:|--------:|:-----------|:-------------|-----------------:|----------:|------------:|:--------------|:--------------|:------------|:--------------------|-------------:|----------:|---------:|:----------------------------------------------|-------------:|-------:|----------:|:----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| ('2018-01-29_17-43-00-199606', 10) |      0.699 |     0.678 |       9 | tensorflow | LSTM_01      |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy |           32 |     0.900 |    0.100 | custom_embedding_sg_300_lc                    |          nan |      3 |   242.895 | ['--system', 'hpc', '--embedding', 'ce_sg_300_lc']                                                                                                                                                                                                                                |
| ('2018-01-29_17-43-00-626157', 10) |      0.696 |     0.678 |      11 | tensorflow | LSTM_05add   |              300 |       250 |          96 | softplus      | sigmoid       | adam        | mean_squared_error  |           32 |     0.900 |    0.100 | custom_embedding_w2v_hs_iter20_sg_300_lc_wiki |          nan |      3 |  1079.501 | ['--system', 'hpc', '--classifier', 'LSTM_05add', '--lstm_size', '96', '--padding', '250', '--activation1', 'softplus', '--optimizer', 'adam', '--loss', 'mean_squared_error', '--embedding', 'ce_wiki_i20_300_lc', '--dropout', '0.9', '--vsplit', '0.1', '--batch_size', '32']  |
| ('2018-01-29_17-43-00-199606', 5)  |      0.696 |     0.702 |      10 | tensorflow | LSTM_01      |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy |           32 |     0.900 |    0.100 | custom_embedding_sg_300_lc                    |          nan |      3 |   231.929 | ['--system', 'hpc', '--embedding', 'ce_sg_300_lc']                                                                                                                                                                                                                                |
| ('2018-01-29_17-23-09-599409', 1)  |      0.696 |     0.649 |      11 | tensorflow | ATT_LSTM_03  |              300 |       150 |          96 | softplus      | sigmoid       | adam        | logcosh             |           32 |     0.900 |    0.100 | custom_embedding_sg_300_lc                    |          nan |      3 |   457.984 | ['--system', 'hpc', '--classifier', 'ATT_LSTM_03', '--lstm_size', '96', '--padding', '150', '--activation1', 'softplus', '--optimizer', 'adam', '--loss', 'logcosh', '--embedding', 'ce_sg_300_lc', '--dropout', '0.9', '--vsplit', '0.1', '--batch_size', '32']                  |
| ('2018-01-29_17-43-00-603894', 9)  |      0.693 |     0.665 |      12 | tensorflow | LSTM_05conc  |              100 |       250 |          96 | softplus      | sigmoid       | adam        | mean_squared_error  |           32 |     0.900 |    0.100 | custom_embedding_w2v_hs_iter20_sg_100_lc_wiki |          nan |      3 |   872.491 | ['--system', 'hpc', '--classifier', 'LSTM_05conc', '--lstm_size', '96', '--padding', '250', '--activation1', 'softplus', '--optimizer', 'adam', '--loss', 'mean_squared_error', '--embedding', 'ce_wiki_i20_100_lc', '--dropout', '0.9', '--vsplit', '0.1', '--batch_size', '32'] |
| ('2018-01-29_17-43-00-623934', 8)  |      0.693 |     0.686 |      13 | tensorflow | LSTM_01      |              100 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy |           32 |     0.900 |    0.100 | custom_embedding_w2v_hs_iter20_sg_100_lc_wiki |          nan |      3 |   265.754 | ['--system', 'hpc', '--embedding', 'ce_wiki_i20_100_lc']                                                                                                                                                                                                                          |
| ('2018-01-29_17-43-01-259683', 10) |      0.693 |     0.669 |       7 | tensorflow | LSTM_05conc  |              300 |       250 |          96 | softplus      | sigmoid       | adam        | mean_squared_error  |           32 |     0.900 |    0.100 | custom_embedding_w2v_hs_iter20_sg_300_lc_wiki |          nan |      3 |   812.320 | ['--system', 'hpc', '--classifier', 'LSTM_05conc', '--lstm_size', '96', '--padding', '250', '--activation1', 'softplus', '--optimizer', 'adam', '--loss', 'mean_squared_error', '--embedding', 'ce_wiki_i20_300_lc', '--dropout', '0.9', '--vsplit', '0.1', '--batch_size', '32'] |
| ('2018-01-29_17-43-00-750472', 10) |      0.693 |     0.657 |      12 | tensorflow | LSTM_05add   |              300 |       150 |          96 | softplus      | sigmoid       | adam        | logcosh             |           32 |     0.900 |    0.100 | custom_embedding_w2v_hs_iter20_sg_300_lc_wiki |          nan |      3 |   710.612 | ['--system', 'hpc', '--classifier', 'LSTM_05add', '--lstm_size', '96', '--padding', '150', '--activation1', 'softplus', '--optimizer', 'adam', '--loss', 'logcosh', '--embedding', 'ce_wiki_i20_300_lc', '--dropout', '0.9', '--vsplit', '0.1', '--batch_size', '32']             |
| ('2018-01-29_17-43-00-620883', 8)  |      0.690 |     0.715 |       9 | tensorflow | LSTM_01      |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy |           32 |     0.900 |    0.100 | custom_embedding_w2v_hs_iter20_sg_300_lc_wiki |          nan |      3 |   236.094 | ['--system', 'hpc', '--embedding', 'ce_wiki_i20_300_lc']                                                                                                                                                                                                                          |
