/home/andreas/anaconda3/envs/default/bin/python /home/andreas/workspace/semeval/project/results_evaluator.py
start evaluating
|                                   |   pred_acc |   val_acc |   epoch | backend    | classifier     |   dimensionality |   padding |   lstm_size | activation1   | activation2   | optimizer   | loss                           |   batch_size |   dropout |   vsplit | embedding                                     |   embedding2 |   rich |   runtime | argv                                                                                                                                                                                                                                             |
|:----------------------------------|-----------:|----------:|--------:|:-----------|:---------------|-----------------:|----------:|------------:|:--------------|:--------------|:------------|:-------------------------------|-------------:|----------:|---------:|:----------------------------------------------|-------------:|-------:|----------:|:-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------|
| ('2018-01-06_23-51-34-376124', 3) |      0.706 |     0.667 |      11 | tensorflow | LSTM_01        |              300 |        47 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.400 | embeddings_cache_file_word2vec                |          nan |      3 |   178.635 | ['--padding', '47', '--runs', '5', '--vsplit', '0.4']                                                                                                                                                                                            |
| ('2018-01-25_01-07-17-357308', 3) |      0.703 |     0.678 |      12 | tensorflow | LSTM_01        |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | custom_embedding_w2v_hs_iter05_sg_300_lc_wiki |          nan |      3 |   513.478 | ['--embedding', 'ce_wiki_lc']                                                                                                                                                                                                                    |
| ('2018-01-08_17-11-10-891132', 3) |      0.703 |     0.657 |      11 | tensorflow | LSTM_05add     |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec                |          nan |      3 |  1286.003 | ['--classifier', 'LSTM_05add']                                                                                                                                                                                                                   |
| ('2018-01-08_17-18-00-247898', 1) |      0.699 |     0.669 |      11 | tensorflow | LSTM_05conc    |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec                |          nan |      3 |  1328.276 | ['--classifier', 'LSTM_05conc']                                                                                                                                                                                                                  |
| ('2018-01-07_03-36-01-329313', 3) |      0.699 |     0.636 |       9 | tensorflow | LSTM_01        |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec                |          nan |      3 |   222.636 | ['--patience', '3']                                                                                                                                                                                                                              |
| ('2018-01-06_22-52-32-049368', 3) |      0.699 |     0.636 |       9 | tensorflow | LSTM_01        |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec                |          nan |      3 |   235.927 | []                                                                                                                                                                                                                                               |
| ('2018-01-08_02-44-59-364714', 3) |      0.699 |     0.636 |       9 | tensorflow | LSTM_01        |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec                |          nan |      3 |   215.795 | ['--classifier', 'LSTM_01']                                                                                                                                                                                                                      |
| ('2018-01-17_23-20-44-392138', 3) |      0.699 |     0.636 |       9 | tensorflow | LSTM_01        |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec                |          nan |      3 |   217.223 | []                                                                                                                                                                                                                                               |
| ('2018-01-07_19-55-32-347520', 3) |      0.699 |     0.636 |       9 | tensorflow | ATT_LSTM_01    |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec                |          nan |      3 |   212.210 | ['--classifier', 'ATT_LSTM_01']                                                                                                                                                                                                                  |
| ('2018-01-06_23-17-25-099243', 3) |      0.696 |     0.654 |       8 | tensorflow | LSTM_01        |              300 |        47 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.400 | embeddings_cache_file_word2vec                |          nan |      3 |    93.600 | ['--padding', '47', '--runs', '5', '--vsplit', '0.4']                                                                                                                                                                                            |
| ('2018-01-09_21-59-52-641569', 3) |      0.696 |     0.657 |       9 | tensorflow | ATT_LSTM_03b   |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec                |          nan |      3 |   481.012 | ['--runs', '8', '--patience', '5', '--classifier', 'ATT_LSTM_03b']                                                                                                                                                                               |
| ('2018-01-25_01-07-17-357308', 1) |      0.696 |     0.678 |      13 | tensorflow | LSTM_01        |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | custom_embedding_w2v_hs_iter05_sg_300_lc_wiki |          nan |      3 |   280.081 | ['--embedding', 'ce_wiki_lc']                                                                                                                                                                                                                    |
| ('2018-01-09_20-04-37-841751', 3) |      0.693 |     0.640 |      11 | tensorflow | ATT_LSTM_03b   |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec                |          nan |      3 |   879.527 | ['--patience', '5', '--classifier', 'ATT_LSTM_03b']                                                                                                                                                                                              |
| ('2018-01-09_23-45-49-605686', 2) |      0.693 |     0.674 |      12 | tensorflow | LSTM_01        |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec                |          nan |      3 |   285.428 | []                                                                                                                                                                                                                                               |
| ('2018-01-08_13-21-09-763714', 3) |      0.693 |     0.665 |       9 | tensorflow | LSTM_02c       |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec                |          nan |      3 |   394.871 | ['--classifier', 'LSTM_02c']                                                                                                                                                                                                                     |
| ('2018-01-21_21-54-02-124978', 2) |      0.690 |     0.674 |      10 | tensorflow | LSTM_01        |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec                |          nan |      3 |   234.687 | ['--epochs', '10']                                                                                                                                                                                                                               |
| ('2018-01-07_01-51-55-304775', 2) |      0.690 |     0.702 |       9 | tensorflow | LSTM_01        |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec                |          nan |      3 |   209.831 | ['--dense_factor', '4']                                                                                                                                                                                                                          |
| ('2018-01-17_19-36-14-526964', 3) |      0.690 |     0.669 |       9 | tensorflow | LSTM_01        |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec                |          nan |      3 |   207.419 | []                                                                                                                                                                                                                                               |
| ('2018-01-06_22-52-49-547038', 2) |      0.690 |     0.636 |      12 | tensorflow | LSTM_01        |              300 |        47 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec                |          nan |      3 |   277.019 | ['--padding', '47']                                                                                                                                                                                                                              |
