/home/andreas/anaconda3/envs/default/bin/python /home/andreas/workspace/semeval/project/results_evaluator.py
start evaluating
|                                    |   pred_acc |   val_acc |   epoch | backend    | classifier   |   dimensionality |   padding |   lstm_size | activation1   | activation2   | optimizer   | loss                           |   batch_size |   dropout |   vsplit | embedding                                    |   embedding2 |   rich |   runtime | argv                                                                                                                       |
|:-----------------------------------|-----------:|----------:|--------:|:-----------|:-------------|-----------------:|----------:|------------:|:--------------|:--------------|:------------|:-------------------------------|-------------:|----------:|---------:|:---------------------------------------------|-------------:|-------:|----------:|:---------------------------------------------------------------------------------------------------------------------------|
| ('2018-01-22_16-58-52-771565', 2)  |      0.706 |     0.669 |      20 | tensorflow | LSTM_05conc  |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.300 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |   808.506 | ['--runs', '10', '--classifier', 'LSTM_05conc', '--dropout', '0.3', '--emb_dir', '../embeddings/']                         |
| ('2018-01-22_17-00-24-451343', 10) |      0.706 |     0.665 |      15 | tensorflow | LSTM_05conc  |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           64 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |   472.486 | ['--runs', '10', '--classifier', 'LSTM_05conc', '--batch_size', '64', '--emb_dir', '../embeddings/']                       |
| ('2018-01-22_17-02-25-073429', 6)  |      0.703 |     0.690 |      16 | tensorflow | LSTM_05conc  |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |          256 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |   530.346 | ['--runs', '10', '--classifier', 'LSTM_05conc', '--batch_size', '256', '--emb_dir', '../embeddings/']                      |
| ('2018-01-22_17-10-42-720770', 6)  |      0.703 |     0.694 |      11 | tensorflow | LSTM_05conc  |              300 |       100 |          64 | relu          | sigmoid       | rmsprop     | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |   389.109 | ['--runs', '10', '--classifier', 'LSTM_05conc', '--optimizer', 'rmsprop', '--emb_dir', '../embeddings/']                   |
| ('2018-01-22_16-58-54-202697', 3)  |      0.703 |     0.669 |      16 | tensorflow | LSTM_05conc  |              300 |       250 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |  1427.956 | ['--runs', '10', '--classifier', 'LSTM_05conc', '--padding', '250', '--emb_dir', '../embeddings/']                         |
| ('2018-01-22_18-50-20-164471', 1)  |      0.703 |     0.649 |      10 | tensorflow | LSTM_05conc  |              300 |       100 |          64 | softplus      | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |   323.104 | ['--runs', '10', '--classifier', 'LSTM_05conc', '--activation1', 'softplus', '--emb_dir', '../embeddings/']                |
| ('2018-01-22_17-00-27-933994', 10) |      0.703 |     0.678 |      14 | tensorflow | LSTM_05conc  |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |          128 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |   515.301 | ['--runs', '10', '--classifier', 'LSTM_05conc', '--batch_size', '128', '--emb_dir', '../embeddings/']                      |
| ('2018-01-22_18-48-42-694922', 2)  |      0.699 |     0.698 |       9 | tensorflow | LSTM_05conc  |              300 |       100 |          64 | selu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |   322.376 | ['--runs', '10', '--classifier', 'LSTM_05conc', '--activation1', 'selu', '--emb_dir', '../embeddings/']                    |
| ('2018-01-22_18-34-37-984809', 3)  |      0.699 |     0.686 |      11 | tensorflow | LSTM_05conc  |              300 |       100 |          64 | relu          | sigmoid       | adam        | mean_squared_error             |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |   389.957 | ['--runs', '10', '--classifier', 'LSTM_05conc', '--loss', 'mean_squared_error', '--emb_dir', '../embeddings/']             |
| ('2018-01-22_16-58-54-202528', 4)  |      0.696 |     0.690 |       9 | tensorflow | LSTM_05conc  |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |   409.690 | ['--runs', '10', '--classifier', 'LSTM_05conc', '--lstm_size', '64', '--emb_dir', '../embeddings/']                        |
| ('2018-01-22_18-48-42-694922', 3)  |      0.693 |     0.661 |      11 | tensorflow | LSTM_05conc  |              300 |       100 |          64 | selu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |   397.048 | ['--runs', '10', '--classifier', 'LSTM_05conc', '--activation1', 'selu', '--emb_dir', '../embeddings/']                    |
| ('2018-01-22_18-34-37-984809', 1)  |      0.693 |     0.694 |      10 | tensorflow | LSTM_05conc  |              300 |       100 |          64 | relu          | sigmoid       | adam        | mean_squared_error             |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |   344.561 | ['--runs', '10', '--classifier', 'LSTM_05conc', '--loss', 'mean_squared_error', '--emb_dir', '../embeddings/']             |
| ('2018-01-22_16-58-52-547665', 2)  |      0.693 |     0.657 |       9 | tensorflow | LSTM_05conc  |              300 |        75 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |   267.047 | ['--runs', '10', '--classifier', 'LSTM_05conc', '--padding', '75', '--emb_dir', '../embeddings/']                          |
| ('2018-01-22_18-05-13-919689', 4)  |      0.690 |     0.653 |      14 | tensorflow | LSTM_05conc  |              300 |       100 |          64 | relu          | sigmoid       | nadam       | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |   495.089 | ['--runs', '10', '--classifier', 'LSTM_05conc', '--optimizer', 'nadam', '--emb_dir', '../embeddings/']                     |
| ('2018-01-22_18-34-37-984809', 2)  |      0.690 |     0.690 |      10 | tensorflow | LSTM_05conc  |              300 |       100 |          64 | relu          | sigmoid       | adam        | mean_squared_error             |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |   349.544 | ['--runs', '10', '--classifier', 'LSTM_05conc', '--loss', 'mean_squared_error', '--emb_dir', '../embeddings/']             |
