/home/andreas/anaconda3/envs/default/bin/python /home/andreas/workspace/semeval/project/results_evaluator.py
start evaluating
|                                    |   pred_acc |   val_acc |   epoch | backend   | classifier   |   dimensionality |   padding |   lstm_size | activation1   | activation2   | optimizer   | loss                           |   batch_size |   dropout |   vsplit | embedding                                    |   embedding2 |   rich |   runtime | argv                                                                                                                      |
|:-----------------------------------|-----------:|----------:|--------:|:----------|:-------------|-----------------:|----------:|------------:|:--------------|:--------------|:------------|:-------------------------------|-------------:|----------:|---------:|:---------------------------------------------|-------------:|-------:|----------:|:--------------------------------------------------------------------------------------------------------------------------|
| ('2018-01-22_16-51-29-136994', 1)  |      0.699 |     0.682 |      13 | theano    | LSTM_05add   |              300 |       100 |          64 | relu          | sigmoid       | rmsprop     | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |  3832.584 | ['--runs', '10', '--classifier', 'LSTM_05add', '--optimizer', 'rmsprop', '--emb_dir', '../embeddings/']                   |
| ('2018-01-22_16-51-30-025191', 2)  |      0.693 |     0.690 |       8 | theano    | LSTM_05add   |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.800 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |  1467.495 | ['--runs', '10', '--classifier', 'LSTM_05add', '--dropout', '0.8', '--emb_dir', '../embeddings/']                         |
| ('2018-01-22_16-51-30-893383', 2)  |      0.693 |     0.694 |      17 | theano    | LSTM_05add   |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           64 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |  2172.605 | ['--runs', '10', '--classifier', 'LSTM_05add', '--batch_size', '64', '--emb_dir', '../embeddings/']                       |
| ('2018-01-22_16-51-29-641739', 2)  |      0.690 |     0.665 |       7 | theano    | LSTM_05add   |              300 |       100 |          64 | linear        | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |  1306.918 | ['--runs', '10', '--classifier', 'LSTM_05add', '--activation1', 'linear', '--emb_dir', '../embeddings/']                  |
| ('2018-01-22_16-51-30-893111', 1)  |      0.690 |     0.686 |      19 | theano    | LSTM_05add   |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |          128 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |  3799.020 | ['--runs', '10', '--classifier', 'LSTM_05add', '--batch_size', '128', '--emb_dir', '../embeddings/']                      |
| ('2018-01-22_16-51-30-346477', 2)  |      0.687 |     0.698 |       8 | theano    | LSTM_05add   |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.700 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |  1484.514 | ['--runs', '10', '--classifier', 'LSTM_05add', '--dropout', '0.7', '--emb_dir', '../embeddings/']                         |
| ('2018-01-22_16-51-30-463775', 1)  |      0.687 |     0.649 |      17 | theano    | LSTM_05add   |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_fastText               |          nan |      3 |  4287.844 | ['--runs', '10', '--classifier', 'LSTM_05add', '--embedding', 'ftx', '--emb_dir', '../embeddings/']                       |
| ('2018-01-22_16-51-30-982684', 2)  |      0.687 |     0.620 |      16 | theano    | LSTM_05add   |              300 |       100 |          64 | relu          | sigmoid       | nadam       | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |  2674.564 | ['--runs', '10', '--classifier', 'LSTM_05add', '--optimizer', 'nadam', '--emb_dir', '../embeddings/']                     |
| ('2018-01-22_16-51-30-894210', 2)  |      0.684 |     0.674 |       8 | theano    | LSTM_05add   |              300 |       100 |          64 | tanh          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |  1440.628 | ['--runs', '10', '--classifier', 'LSTM_05add', '--activation1', 'tanh', '--emb_dir', '../embeddings/']                    |
| ('2018-01-22_16-51-29-553648', 2)  |      0.684 |     0.686 |       9 | theano    | LSTM_05add   |              300 |       100 |          64 | sigmoid       | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |  1585.166 | ['--runs', '10', '--classifier', 'LSTM_05add', '--activation1', 'sigmoid', '--emb_dir', '../embeddings/']                 |
| ('2018-01-22_16-51-29-718517', 2)  |      0.684 |     0.698 |       8 | theano    | LSTM_05add   |              300 |       100 |          64 | softplus      | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |  1455.011 | ['--runs', '10', '--classifier', 'LSTM_05add', '--activation1', 'softplus', '--emb_dir', '../embeddings/']                |
| ('2018-01-22_16-51-30-347768', 2)  |      0.684 |     0.624 |       8 | theano    | LSTM_05add   |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.200 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |  1505.794 | ['--runs', '10', '--classifier', 'LSTM_05add', '--dropout', '0.2', '--emb_dir', '../embeddings/']                         |
| ('2018-01-22_16-51-30-383077', 2)  |      0.684 |     0.686 |      12 | theano    | LSTM_05add   |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.050 | embeddings_cache_file_word2vec               |          nan |      3 |  2029.358 | ['--runs', '10', '--classifier', 'LSTM_05add', '--vsplit', '0.05', '--emb_dir', '../embeddings/']                         |
| ('2018-01-22_16-51-30-709121', 2)  |      0.680 |     0.636 |      19 | theano    | LSTM_05add   |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.450 | embeddings_cache_file_word2vec               |          nan |      3 |  2230.701 | ['--runs', '10', '--classifier', 'LSTM_05add', '--vsplit', '0.45', '--emb_dir', '../embeddings/']                         |
| ('2018-01-22_16-51-30-893930', 3)  |      0.680 |     0.665 |      15 | theano    | LSTM_05add   |              300 |        50 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |  1444.650 | ['--runs', '10', '--classifier', 'LSTM_05add', '--padding', '50', '--emb_dir', '../embeddings/']                          |
| ('2018-01-22_16-51-28-816656', 3)  |      0.680 |     0.694 |       9 | theano    | LSTM_05add   |              300 |       100 |          64 | elu           | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |  1578.943 | ['--runs', '10', '--classifier', 'LSTM_05add', '--activation1', 'elu', '--emb_dir', '../embeddings/']                     |
| ('2018-01-22_16-51-29-354140', 3)  |      0.677 |     0.686 |      13 | theano    | LSTM_05add   |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     1.000 |    0.100 | embeddings_cache_file_word2vec               |          nan |      3 |  2124.718 | ['--runs', '10', '--classifier', 'LSTM_05add', '--dropout', '1.0', '--emb_dir', '../embeddings/']                         |
| ('2018-01-22_16-51-30-024920', 1)  |      0.677 |     0.630 |      16 | theano    | LSTM_05add   |              300 |       100 |          64 | relu          | sigmoid       | adam        | binary_crossentropy            |           32 |     0.900 |    0.650 | embeddings_cache_file_word2vec               |          nan |      3 |  3111.457 | ['--runs', '10', '--classifier', 'LSTM_05add', '--vsplit', '0.65', '--emb_dir', '../embeddings/']                         |
